miRName_mouse	Assay_type	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
mmu_miR_182_5p	GOI	Undetermined	33.248	29.765	31.413	29.134	30.402	31.695	29.227	29.175	29.953	32.959	31.368	29.653	28.602	31.391	31.360	31.761	28.705	29.586	29.536	Undetermined	29.315	28.252	32.920
mmu_miR_186_5p	GOI	34.708	32.607	30.759	33.840	30.214	30.464	31.976	33.207	31.241	31.733	32.163	32.173	30.850	30.099	37.188	31.270	30.554	29.880	31.151	32.217	34.300	30.642	29.254	31.257
mmu_miR_195a_5p	GOI	30.719	27.934	24.760	27.154	23.479	25.573	28.276	25.112	24.547	26.269	27.838	26.635	25.234	24.071	27.848	26.378	25.479	24.693	25.276	25.940	29.386	25.320	24.249	28.449
mmu_miR_19a_3p	GOI	31.825	30.769	28.886	28.493	24.403	26.237	27.383	26.144	26.366	27.133	27.406	26.751	25.971	24.782	29.831	25.765	25.950	25.270	26.307	26.519	30.258	26.071	24.406	27.722
mmu_miR_19b_3p	GOI	30.974	30.585	27.870	27.730	23.335	25.160	26.124	24.971	25.423	26.111	26.521	25.922	24.589	23.819	28.591	24.753	25.060	24.233	25.181	25.406	28.575	25.083	23.448	26.687
mmu_miR_200c_3p	GOI	26.710	26.235	26.529	26.175	23.148	24.528	26.566	24.863	23.576	25.155	25.797	25.781	23.708	23.849	25.653	24.211	24.643	23.491	24.529	24.401	27.554	24.386	23.208	24.871
mmu_miR_20a_5p	GOI	30.705	28.835	29.161	28.980	25.161	26.547	27.939	25.547	25.816	26.927	27.691	27.360	25.547	24.179	28.555	25.882	25.251	24.849	26.138	26.347	30.020	26.129	24.350	26.922
mmu_miR_20b_5p	GOI	Undetermined	38.707	Undetermined	Undetermined	33.873	Undetermined	Undetermined	37.939	39.024	37.055	Undetermined	39.055	35.200	34.804	36.323	35.007	34.736	33.593	35.636	39.170	Undetermined	33.248	34.668	Undetermined
mmu_miR_221_3p	GOI	32.687	32.108	30.728	30.315	27.938	28.551	29.801	27.124	26.813	27.990	28.484	28.360	27.367	25.864	29.271	26.321	27.127	25.718	26.888	26.753	30.839	26.386	25.555	26.627
mmu_miR_222_3p	GOI	30.128	27.418	28.417	28.592	25.343	27.208	27.997	25.845	25.292	26.856	27.212	27.206	25.678	25.260	27.596	25.896	25.838	24.733	25.774	26.166	30.216	25.276	24.631	26.593
mmu_miR_23a_3p	GOI	25.158	23.820	23.431	23.700	20.526	22.380	23.391	20.869	20.909	22.366	23.937	22.574	21.588	20.674	23.584	21.880	21.957	20.719	21.471	21.476	25.563	21.691	20.588	24.239
mmu_miR_23b_3p	GOI	25.158	23.551	22.379	23.240	19.828	21.591	22.920	20.270	20.285	21.834	23.448	22.156	20.494	20.432	22.943	21.560	21.413	19.841	20.823	21.013	25.206	20.908	20.128	24.121
mmu_miR_26a_5p	GOI	27.230	24.446	24.012	24.819	21.115	23.179	25.383	22.092	22.077	22.986	24.592	23.652	22.491	21.737	24.980	23.430	24.894	22.228	22.986	23.905	26.625	22.801	21.752	25.280
mmu_miR_26b_5p	GOI	30.884	28.336	25.832	24.839	23.591	21.303	27.140	28.789	25.298	25.700	27.251	26.441	25.340	23.952	27.847	25.020	26.244	24.202	25.246	25.355	28.949	25.575	23.579	27.179
mmu_miR_27a_3p	GOI	27.753	24.570	24.695	23.954	21.496	22.801	24.566	22.705	22.240	23.793	23.881	24.401	23.072	22.224	25.951	23.308	22.992	22.241	23.101	23.109	26.740	22.685	21.959	24.801
mmu_miR_27b_3p	GOI	27.973	24.739	25.314	25.146	21.289	23.320	24.996	22.748	22.257	23.930	24.772	24.717	22.331	22.155	26.692	23.340	23.973	22.388	23.429	23.317	26.866	22.757	22.226	24.631
mmu_miR_291a_3p	GOI	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	39.231	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	38.997	37.385	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	38.720	Undetermined
mmu_miR_294_3p	GOI	Undetermined	Undetermined	35.741	Undetermined	Undetermined	Undetermined	Undetermined	35.315	Undetermined	35.778	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	36.517	Undetermined	38.959	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
mmu_miR_295_3p	GOI	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	36.475	Undetermined	Undetermined	Undetermined	37.512	Undetermined	Undetermined	Undetermined	Undetermined	38.247	Undetermined
mmu_miR_29a_3p	GOI	28.269	25.155	24.759	25.111	22.984	24.076	25.101	23.138	23.093	24.246	24.264	24.318	22.648	22.069	26.010	22.320	22.645	21.883	22.637	22.315	26.895	22.296	21.369	23.341
mmu_miR_29b_3p	GOI	35.382	32.991	30.255	29.556	27.261	28.428	28.956	27.739	27.107	27.849	28.793	28.173	27.018	23.598	31.580	26.557	27.109	25.830	26.945	26.311	31.206	26.631	24.736	27.428
mmu_miR_29c_3p	GOI	28.616	25.596	25.203	25.498	23.106	23.984	24.915	23.357	22.709	24.266	24.222	24.427	23.333	22.072	26.247	22.694	22.586	22.043	22.661	22.526	26.590	21.832	21.484	23.146
mmu_miR_301a_3p	GOI	37.545	32.339	32.369	32.403	28.472	29.788	31.364	30.494	31.186	31.131	31.907	30.806	30.149	28.368	33.231	29.636	29.833	29.360	30.691	31.340	33.368	30.737	28.116	32.811
mmu_miR_301b_3p	GOI	Undetermined	34.659	34.140	35.075	29.819	31.312	34.185	35.315	32.882	32.115	33.316	31.807	30.912	29.718	35.775	31.433	32.524	31.153	31.875	32.277	35.394	32.532	29.793	37.832
mmu_miR_302b_3p	GOI	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	23.161	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
mmu_miR_302d_3p	GOI	Undetermined	38.265	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	37.285	Undetermined	Undetermined	Undetermined	Undetermined
mmu_miR_30a_5p	GOI	26.980	23.836	24.851	22.700	21.314	22.711	24.467	23.721	21.996	23.883	23.701	23.785	22.715	21.885	25.567	22.861	22.710	22.269	23.093	23.298	26.604	23.808	21.786	24.260
mmu_miR_30b_5p	GOI	28.631	25.447	25.313	24.699	21.950	23.447	25.113	22.871	22.612	23.351	25.423	24.500	22.234	22.209	26.805	23.396	23.429	22.547	23.546	23.479	27.386	23.507	21.913	27.549
mmu_miR_30c_5p	GOI	27.388	25.378	24.212	23.980	21.289	22.945	23.911	21.841	21.516	23.180	25.532	23.802	22.498	21.460	24.974	23.319	23.412	21.639	22.557	22.643	26.292	22.214	21.400	26.131
mmu_miR_30d_5p	GOI	25.542	24.064	25.273	24.880	21.928	23.302	24.807	22.724	22.313	23.196	24.399	24.307	22.512	22.450	24.912	22.913	22.646	22.311	23.000	22.939	26.441	22.880	22.235	24.183
mmu_miR_30e_5p	GOI	34.110	32.111	31.751	32.315	28.223	29.697	31.330	29.219	27.898	28.575	30.609	30.531	28.210	27.666	33.291	29.531	30.716	27.793	30.159	30.333	32.605	29.736	27.723	30.224
mmu_miR_322_5p	GOI	31.066	27.859	27.965	27.964	24.360	25.940	27.492	24.900	25.082	26.477	26.872	26.681	25.391	24.337	28.747	25.162	25.773	24.329	25.319	25.488	29.022	24.977	23.809	27.402
mmu_miR_325_3p	GOI	36.172	37.070	Undetermined	Undetermined	Undetermined	36.236	36.894	35.928	38.224	34.791	38.050	35.814	Undetermined	37.794	36.520	36.886	34.318	38.329	38.182	34.679	Undetermined	39.932	37.114	39.806
mmu_miR_338_5p	GOI	35.181	33.711	35.659	35.169	31.122	32.781	33.395	32.520	31.907	32.678	34.003	33.980	32.270	31.275	34.649	32.016	31.956	31.822	32.410	31.735	Undetermined	32.534	31.898	34.350
mmu_miR_340_5p	GOI	35.753	33.909	36.412	34.352	30.690	32.544	31.730	30.988	31.346	32.521	31.231	32.011	31.423	29.427	34.853	30.116	30.291	30.224	31.413	32.163	35.286	31.943	28.603	30.652
mmu_miR_350_3p	GOI	34.288	30.598	29.525	30.463	27.956	28.991	29.543	27.467	27.504	28.755	30.443	29.000	27.666	27.104	30.434	27.947	27.691	26.745	27.690	27.853	32.117	27.411	25.930	29.491
mmu_miR_369_3p	GOI	Undetermined	Undetermined	Undetermined	36.624	Undetermined	37.742	Undetermined	37.207	Undetermined	38.598	Undetermined	39.910	Undetermined	36.643	Undetermined	34.624	Undetermined	Undetermined	36.356	35.814	Undetermined	Undetermined	34.747	36.079
mmu_miR_384_5p	GOI	Undetermined	Undetermined	Undetermined	39.699	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	36.086	Undetermined	36.430	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
mmu_miR_410_3p	GOI	36.480	35.513	35.395	33.739	Undetermined	34.891	Undetermined	35.098	35.259	32.769	34.411	35.421	34.124	33.542	36.321	33.686	31.931	33.981	34.987	33.167	Undetermined	34.922	33.499	32.758
mmu_miR_429_3p	GOI	31.597	27.132	29.107	28.316	24.880	26.316	27.777	26.330	25.884	27.382	27.497	28.145	27.306	25.892	29.652	26.388	26.479	24.723	27.236	26.772	30.568	26.915	25.598	27.318
mmu_miR_466d_3p	GOI	38.013	35.744	38.238	35.154	31.986	33.333	34.617	33.835	32.783	32.478	32.476	33.225	33.281	32.192	34.400	34.351	34.014	31.995	33.820	32.731	39.146	33.090	31.336	35.810
mmu_miR_466k	GOI	34.462	34.550	34.689	34.260	33.884	33.688	36.109	33.020	31.400	29.807	34.303	32.604	32.795	31.601	32.771	33.501	31.822	31.237	32.303	30.690	Undetermined	33.106	32.923	34.486
mmu_miR_495_3p	GOI	36.816	36.996	Undetermined	Undetermined	33.765	35.603	Undetermined	Undetermined	34.560	34.221	Undetermined	Undetermined	33.004	33.516	Undetermined	35.431	34.799	33.706	34.486	36.158	Undetermined	35.902	34.595	36.337
mmu_miR_497a_5p	GOI	32.223	30.447	28.577	29.543	26.946	27.988	28.595	25.865	25.792	27.467	27.229	26.983	25.183	24.684	29.174	25.218	25.297	24.719	25.364	25.400	29.651	25.004	23.774	27.607
mmu_miR_568	GOI	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
mmu_miR_590_3p	GOI	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	38.732	32.171	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
mmu_miR_669h_3p	GOI	35.465	Undetermined	Undetermined	38.079	36.647	Undetermined	Undetermined	35.801	Undetermined	33.218	38.032	34.913	38.776	37.123	35.994	36.159	37.155	38.946	36.107	34.840	36.191	Undetermined	Undetermined	Undetermined
mmu_miR_669k_3p	GOI	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
mmu_miR_694	GOI	Undetermined	Undetermined	38.663	38.627	38.103	Undetermined	37.767	Undetermined	35.660	34.950	35.204	35.650	Undetermined	39.725	36.796	36.674	Undetermined	Undetermined	39.869	Undetermined	Undetermined	38.896	39.681	37.617
mmu_miR_712_5p	GOI	31.847	31.378	32.451	32.439	30.923	30.134	31.422	31.420	31.700	31.396	30.497	30.801	30.664	31.872	30.773	30.646	30.721	29.735	30.838	29.655	36.073	30.347	30.381	31.798
mmu_miR_721	GOI	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	36.730	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
mmu_miR_743a_3p	GOI	38.067	37.182	Undetermined	37.403	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	33.719	Undetermined	36.557	36.559	37.930	Undetermined	Undetermined	37.695	35.341	39.168	35.653	Undetermined	Undetermined	Undetermined	39.288
mmu_miR_743b_3p	GOI	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	35.729	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	37.533	Undetermined	Undetermined	Undetermined	Undetermined
mmu_miR_876_3p	GOI	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
mmu_miR_9_5p	GOI	Undetermined	34.352	Undetermined	37.591	30.525	34.553	Undetermined	32.792	Undetermined	33.781	34.085	37.398	31.796	32.802	34.956	32.584	32.395	32.199	34.949	35.350	34.645	33.827	32.175	33.538
mmu_miR_93_5p	GOI	29.646	28.003	28.610	28.548	25.511	26.646	27.674	25.532	25.433	26.657	27.388	27.305	25.104	24.952	27.783	25.366	25.618	24.508	25.508	25.627	29.427	25.099	24.641	27.850
mmu_miR_98_5p	GOI	32.998	31.198	31.249	31.756	26.684	29.864	32.105	29.294	29.277	29.842	30.646	31.233	29.250	27.443	31.309	26.471	29.508	26.829	29.308	29.407	33.091	28.811	Undetermined	32.699
cel_miR_39_3p	Spike	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
cel_miR_39_3p_2	Spike	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
U6_snRNA_v2	Ref	31.599	28.860	28.972	28.196	27.263	28.421	28.690	29.621	29.293	28.813	28.535	27.218	28.466	28.129	30.530	25.550	26.309	26.511	27.512	26.348	32.088	28.722	27.675	28.580
5S_rRNA	Ref	20.578	18.786	12.947	17.962	18.333	18.613	18.880	20.290	20.143	18.554	17.628	17.310	17.901	17.083	17.869	15.175	16.759	16.567	16.468	15.384	23.574	16.691	16.101	14.502
RNU5G	Ref	25.876	25.996	21.505	21.495	23.788	24.243	25.207	24.933	24.286	23.326	24.848	22.998	23.606	22.953	24.001	23.392	23.837	22.208	22.915	21.667	28.346	22.578	21.930	23.813
RNU1A1	Ref	24.650	25.806	18.194	19.653	24.908	25.716	25.887	22.057	23.805	24.077	22.425	22.767	22.963	22.008	21.780	22.624	22.353	20.838	20.908	20.071	28.424	20.667	19.764	22.820
UniSp2	Spike	Undetermined	Undetermined	38.602	Undetermined	Undetermined	39.983	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
UniSp4	Spike	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	34.423	Undetermined	Undetermined	39.204	37.072	Undetermined	Undetermined	Undetermined	39.409	34.451	35.835	Undetermined	35.112	33.935	37.640
UniSp5	Spike	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	34.762	Undetermined
UniSp6	Spike	36.114	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
UniSp3_IPC	IPC	Undetermined	Undetermined	17.507	17.430	17.356	17.374	16.648	17.409	17.636	17.091	17.266	17.113	16.843	17.065	17.498	15.370	17.893	16.996	16.968	17.450	17.198	17.400	Undetermined	18.975
UniSp3_IPC_2	IPC	Undetermined	Undetermined	17.256	17.419	17.190	17.455	16.738	17.431	17.369	17.472	17.459	17.224	16.729	16.875	17.113	12.564	17.823	16.502	17.089	16.924	17.347	16.925	Undetermined	19.439
