miRNA
mmu-let-7a-5p
mmu-let-7b-5p
mmu-let-7c-5p
mmu-let-7d-5p
mmu-let-7e-5p
mmu-let-7f-5p
mmu-let-7g-5p
mmu-let-7i-5p
mmu-miR-106a-5p
mmu-miR-106b-5p
mmu-miR-126a-5p
mmu-miR-128-3p
mmu-miR-130a-3p
mmu-miR-130b-3p
mmu-miR-135a-5p
mmu-miR-140-5p
mmu-miR-144-3p
mmu-miR-155-5p
mmu-miR-15a-5p
mmu-miR-15b-5p
mmu-miR-16-5p
mmu-miR-17-5p
mmu-miR-181a-5p
mmu-miR-181b-5p
mmu-miR-181c-5p
mmu-miR-181d-5p
mmu-miR-182-5p
mmu-miR-186-5p
mmu-miR-195a-5p
mmu-miR-19a-3p
mmu-miR-19b-3p
mmu-miR-200c-3p
mmu-miR-20a-5p
mmu-miR-221-3p
mmu-miR-222-3p
mmu-miR-23a-3p
mmu-miR-23b-3p
mmu-miR-26a-5p
mmu-miR-26b-5p
mmu-miR-27a-3p
mmu-miR-27b-3p
mmu-miR-29a-3p
mmu-miR-29b-3p
mmu-miR-29c-3p
mmu-miR-301a-3p
mmu-miR-301b-3p
mmu-miR-30a-5p
mmu-miR-30b-5p
mmu-miR-30c-5p
mmu-miR-30d-5p
mmu-miR-30e-5p
mmu-miR-322-5p
mmu-miR-338-5p
mmu-miR-340-5p
mmu-miR-350-3p
mmu-miR-410-3p
mmu-miR-429-3p
mmu-miR-466d-3p
mmu-miR-466k
mmu-miR-497a-5p
mmu-miR-712-5p
mmu-miR-9-5p
mmu-miR-93-5p
mmu-miR-98-5p
